"COD_INE";"ID_REL";"COD_GEO";"COD_PROV";"PROVINCIA";"NOMBRE_ACTUAL";"POBLACION_MUNI";"SUPERFICIE";"PERIMETRO";"COD_INE_CAPITAL";"CAPITAL";"POBLACION_CAPITAL";"HOJA_MTN25_ETRS89";"LONGITUD_ETRS89";"LATITUD_ETRS89";"ORIGENCOOR";"ALTITUD";"ORIGENALTITUD"
"01001000000";"1010014";"01010";"01";"Araba/Álava";"Alegría-Dulantzi";2913;1994.58;35069.00;"01001000101";"Alegría-Dulantzi";"2804";"0113-3";-2.51;42.83;"Mapa";568.00;"MDT5"
"01002000000";"1010029";"01020";"01";"Araba/Álava";"Amurrio";10291;9635.28;65134.00;"01002000201";"Amurrio";"9159";"0086-4";-3.00;43.05;"Mapa";219.00;"MDT5"
"01003000000";"1010035";"01030";"01";"Araba/Álava";"Aramaio";1496;7327.40;41818.00;"01003000601";"Ibarra";"802";"0087-4";-2.56;43.05;"Mapa";333.00;"MDT5"
"01004000000";"1010040";"01040";"01";"Araba/Álava";"Artziniega";1829;2728.73;22886.00;"01004000101";"Artziniega";"1699";"0086-1";-3.12;43.12;"Mapa";210.00;"MDT5"
"01006000000";"1010066";"01060";"01";"Araba/Álava";"Armiñón";239;1294.43;24606.00;"01006000101";"Armiñón";"113";"0137-4";-2.87;42.72;"Mapa";467.00;"MDT5"
"01008000000";"1010088";"01080";"01";"Araba/Álava";"Arratzua-Ubarrundia";976;5740.98;66639.00;"01008000501";"Durana";"333";"0112-4";-2.63;42.89;"Mapa";528.00;"MDT5"
"01009000000";"1010091";"01090";"01";"Araba/Álava";"Asparrena";1640;6533.64;53712.00;"01009000401";"Araia";"1233";"0113-4";-2.31;42.88;"Mapa";602.00;"MDT5"
"01010000000";"1010105";"01100";"01";"Araba/Álava";"Ayala/Aiara";2969;14074.15;64072.00;"01010002001";"Arespalditza/Respaldiza";"418";"0086-3";-3.04;43.07;"Mapa";306.00;"MDT5"
"01011000000";"1010112";"01110";"01";"Araba/Álava";"Baños de Ebro/Mañueta";306;945.97;18610.00;"01011000101";"Baños de Ebro/Mañueta";"306";"0170-4";-2.67;42.52;"Mapa";421.00;"MDT5"
"01013000000";"1010133";"01130";"01";"Araba/Álava";"Barrundia";898;9742.34;57432.00;"01013001401";"Ozaeta";"192";"0113-3";-2.49;42.91;"Mapa";575.00;"MDT5"
"01014000000";"1010148";"01140";"01";"Araba/Álava";"Berantevilla";443;3573.00;38711.00;"01014000101";"Berantevilla";"289";"0137-4";-2.85;42.68;"Mapa";471.00;"MDT5"
"01016000000";"1010164";"01160";"01";"Araba/Álava";"Bernedo";504;13044.29;85973.00;"01016000301";"Bernedo";"167";"0171-1";-2.49;42.62;"Mapa";710.00;"MDT5"
"01017000000";"1010170";"01170";"01";"Araba/Álava";"Campezo/Kanpezu";1048;8536.08;53461.00;"01017000501";"Santa Cruz de Campezo/Santikurutze Kanpezu";"778";"0139-4";-2.35;42.66;"Mapa";578.00;"MDT5"
"01018000000";"1010186";"01180";"01";"Araba/Álava";"Zigoitia";1766;10206.93;48596.00;"01018000901";"Gopegi";"267";"0112-1";-2.73;42.96;"Mapa";585.00;"MDT5"
"01019000000";"1010199";"01190";"01";"Araba/Álava";"Kripan";184;1251.59;15980.00;"01019000101";"Kripan";"184";"0171-1";-2.51;42.59;"Mapa";691.00;"MDT5"
"01020000000";"1010203";"01200";"01";"Araba/Álava";"Kuartango";372;8403.47;44173.00;"01020002001";"Zuhatzu Kuartango";"140";"0111-4";-2.88;42.87;"Mapa";594.00;"MDT5"
"01021000000";"1010210";"01210";"01";"Araba/Álava";"Elburgo/Burgelu";607;3209.30;58514.00;"01021000401";"Elburgo/Burgelu";"161";"0112-4";-2.54;42.84;"Mapa";547.00;"MDT5"
"01022000000";"1010225";"01220";"01";"Araba/Álava";"Elciego";1030;1632.31;21825.00;"01022000101";"Elciego";"1030";"0170-4";-2.61;42.51;"Mapa";451.00;"MDT5"
"01023000000";"1010231";"01230";"01";"Araba/Álava";"Elvillar/Bilar";353;1750.22;21190.00;"01023000101";"Elvillar/Bilar";"353";"0170-4";-2.54;42.56;"Mapa";581.00;"MDT5"
"01027000000";"1010278";"01250";"01";"Araba/Álava";"Iruraiz-Gauna";530;4712.86;81139.00;"01027000101";"Azilu";"30";"0139-1";-2.47;42.83;"Mapa";634.00;"MDT5"
"01028000000";"1010284";"01260";"01";"Araba/Álava";"Labastida/Bastida";1454;3816.97;35481.00;"01028000103";"Labastida/Bastida";"1272";"0170-1";-2.79;42.59;"Mapa";554.00;"MDT5"
"01030000000";"1010301";"01280";"01";"Araba/Álava";"Lagrán";166;4562.02;34064.00;"01030000101";"Lagran";"101";"0170-2";-2.58;42.62;"Mapa";751.00;"MDT5"
"01031000000";"1010318";"01290";"01";"Araba/Álava";"Laguardia";1474;8108.51;84436.00;"01031000202";"Laguardia/Biasteri";"1323";"0170-4";-2.58;42.55;"Mapa";630.00;"MDT5"
"01032000000";"1010323";"01300";"01";"Araba/Álava";"Lanciego/Lantziego";673;2419.62;26300.00;"01032000201";"Lanciego/Lantziego";"589";"0171-3";-2.51;42.56;"Mapa";542.00;"MDT5"
"01033000000";"1010339";"01310";"01";"Araba/Álava";"Lapuebla de Labarca";859;598.77;12420.00;"01033000101";"La Puebla de Labarca/Lapuebla Labarka";"859";"0203-2";-2.57;42.49;"Mapa";431.00;"MDT5"
"01034000000";"1010344";"01320";"01";"Araba/Álava";"Leza";203;992.25;14579.00;"01034000101";"Leza";"172";"0170-4";-2.63;42.56;"Mapa";569.00;"MDT5"
"01036000000";"1010360";"01340";"01";"Araba/Álava";"Laudio/Llodio";18133;3756.00;27576.00;"01036000101";"Laudio/Llodio";"18133";"0086-2";-2.96;43.14;"Mapa";123.00;"MDT5"
"01037000000";"1010376";"01350";"01";"Araba/Álava";"Arraia-Maeztu";725;12310.79;59163.00;"01037001001";"Maeztu/Maestu";"338";"0139-3";-2.44;42.74;"Mapa";658.00;"MDT5"
"01039000000";"1010395";"01360";"01";"Araba/Álava";"Moreda de Álava/Moreda Araba";230;867.11;12022.00;"01039000101";"Moreda de Álava/Moreda Araba";"230";"0171-3";-2.40;42.52;"Mapa";461.00;"MDT5"
"01041000000";"1010416";"01380";"01";"Araba/Álava";"Navaridas";226;891.63;11775.00;"01041000101";"Navaridas";"226";"0170-4";-2.62;42.54;"Mapa";535.00;"MDT5"
"01042000000";"1010421";"01390";"01";"Araba/Álava";"Okondo";1155;2979.23;34703.00;"01042000001";"Eskauriatza";"0";"0061-4";-3.01;43.16;"Mapa";135.00;"Mapa"
"01043000000";"1010437";"01400";"01";"Araba/Álava";"Oyón-Oion";3338;4517.74;42025.00;"01043000301";"Oion";"3152";"0171-3";-2.43;42.50;"Mapa";433.00;"MDT5"
"01044000000";"1010442";"01410";"01";"Araba/Álava";"Peñacerrada-Urizaharra";264;6217.54;42084.00;"01044000601";"Peñacerrada/Urizaharra";"114";"0170-1";-2.71;42.64;"Mapa";752.00;"MDT5"
"01046000000";"1010468";"01430";"01";"Araba/Álava";"Erriberagoitia/Ribera Alta";736;11978.21;83147.00;"01046001901";"Pobes";"143";"0137-2";-2.91;42.80;"Mapa";545.00;"MDT5"
"01047000000";"1010474";"01440";"01";"Araba/Álava";"Ribera Baja/Erribera Beitia";1375;2536.04;30506.00;"01047000501";"Ribabellosa";"1097";"0137-4";-2.91;42.71;"Mapa";483.00;"MDT5"
"01049000000";"1010493";"01460";"01";"Araba/Álava";"Añana";156;2192.32;21681.00;"01049000201";"Salinas de Añana/Gesaltza Añana";"143";"0137-2";-2.98;42.80;"Mapa";574.00;"MDT5"
"01051000000";"1010513";"01470";"01";"Araba/Álava";"Agurain/Salvatierra";5025;3776.98;37786.00;"01051000601";"Agurain/Salvatierra";"4900";"0113-3";-2.38;42.85;"Mapa";605.00;"MDT5"
"01052000000";"1010528";"01480";"01";"Araba/Álava";"Samaniego";323;1063.76;16532.00;"01052000101";"Samaniego";"323";"0170-4";-2.67;42.56;"Mapa";571.00;"MDT5"
"01053000000";"1010534";"01490";"01";"Araba/Álava";"San Millán/Donemiliaga";709;8540.58;107242.00;"01053001101";"Ordoñana/Erdoñana";"42";"0113-3";-2.37;42.87;"Mapa";600.00;"MDT5"
"01054000000";"1010549";"01500";"01";"Araba/Álava";"Urkabustaiz";1330;6084.84;37107.00;"01054000701";"Izarra";"983";"0111-2";-2.90;42.95;"Mapa";633.00;"MDT5"
"01055000000";"1010552";"01510";"01";"Araba/Álava";"Valdegovía/Gaubea";996;23827.33;104431.00;"01055003001";"Villanueva de Valdegovía";"124";"0111-3";-3.09;42.84;"Mapa";552.00;"MDT5"
"01056000000";"1010565";"01520";"01";"Araba/Álava";"Harana/Valle de Arana";232;3912.18;37971.00;"01056000101";"Alda";"29";"0139-2";-2.33;42.75;"Mapa";812.00;"MDT5"
