"Province";"Name";"Population";"Longitude";"Latitude";"Autonomous_Community"
"Araba/Álava";"Alegría-Dulantzi";2913;-2.51;42.83;"País Vasco/Euskadi"
"Araba/Álava";"Amurrio";10291;-3;43.05;"País Vasco/Euskadi"
"Araba/Álava";"Aramaio";1496;-2.56;43.05;"País Vasco/Euskadi"
"Araba/Álava";"Artziniega";1829;-3.12;43.12;"País Vasco/Euskadi"
"Araba/Álava";"Armiñón";239;-2.87;42.72;"País Vasco/Euskadi"
"Araba/Álava";"Arratzua-Ubarrundia";976;-2.63;42.89;"País Vasco/Euskadi"
"Araba/Álava";"Asparrena";1640;-2.31;42.88;"País Vasco/Euskadi"
"Araba/Álava";"Ayala/Aiara";2969;-3.04;43.07;"País Vasco/Euskadi"
"Araba/Álava";"Baños de Ebro/Mañueta";306;-2.67;42.52;"País Vasco/Euskadi"
"Araba/Álava";"Barrundia";898;-2.49;42.91;"País Vasco/Euskadi"
"Araba/Álava";"Berantevilla";443;-2.85;42.68;"País Vasco/Euskadi"
"Araba/Álava";"Bernedo";504;-2.49;42.62;"País Vasco/Euskadi"
"Araba/Álava";"Campezo/Kanpezu";1048;-2.35;42.66;"País Vasco/Euskadi"
"Araba/Álava";"Zigoitia";1766;-2.73;42.96;"País Vasco/Euskadi"
"Araba/Álava";"Kripan";184;-2.51;42.59;"País Vasco/Euskadi"
"Araba/Álava";"Kuartango";372;-2.88;42.87;"País Vasco/Euskadi"
"Araba/Álava";"Elburgo/Burgelu";607;-2.54;42.84;"País Vasco/Euskadi"
"Araba/Álava";"Elciego";1030;-2.61;42.51;"País Vasco/Euskadi"
"Araba/Álava";"Elvillar/Bilar";353;-2.54;42.56;"País Vasco/Euskadi"
"Araba/Álava";"Iruraiz-Gauna";530;-2.47;42.83;"País Vasco/Euskadi"
"Araba/Álava";"Labastida/Bastida";1454;-2.79;42.59;"País Vasco/Euskadi"
"Araba/Álava";"Lagrán";166;-2.58;42.62;"País Vasco/Euskadi"
"Araba/Álava";"Laguardia";1474;-2.58;42.55;"País Vasco/Euskadi"
"Araba/Álava";"Lanciego/Lantziego";673;-2.51;42.56;"País Vasco/Euskadi"
"Araba/Álava";"Lapuebla de Labarca";859;-2.57;42.49;"País Vasco/Euskadi"
"Araba/Álava";"Leza";203;-2.63;42.56;"País Vasco/Euskadi"
"Araba/Álava";"Laudio/Llodio";18133;-2.96;43.14;"País Vasco/Euskadi"
"Araba/Álava";"Arraia-Maeztu";725;-2.44;42.74;"País Vasco/Euskadi"
"Araba/Álava";"Moreda de Álava/Moreda Araba";230;-2.4;42.52;"País Vasco/Euskadi"
"Araba/Álava";"Navaridas";226;-2.62;42.54;"País Vasco/Euskadi"
"Araba/Álava";"Okondo";1155;-3.01;43.16;"País Vasco/Euskadi"
"Araba/Álava";"Oyón-Oion";3338;-2.43;42.5;"País Vasco/Euskadi"
"Araba/Álava";"Peñacerrada-Urizaharra";264;-2.71;42.64;"País Vasco/Euskadi"
