"Word";"Frec"
"facha";10
"corrupcion";2
"tesis";2
"plagio";NA
"chalet";12
"racista";NA
"separatistas";NA
"liberal";1
"independentistas";4
"contrato fijo";2
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";NA
"pensiones";40
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";21
"lucha precariedad";19
"contratos basura";7
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";2
"maternidad";NA
"feminismo";8
"muerte digna";NA
"maltrato";1
"concertinas";NA
"asilo";NA
"refugiados";NA
"ultraderecha";6
"lgtbi";NA
"romper espana";1
"trio colon";2
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";10
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";4
"pablo iglesias";348
"iglesias";624
"pabloiglesias";303
"ahorapodemos";82
"irenemontero";10
"unidas podemos";5
"podemos";64
"casado";478
"pablo casado";97
"pablocasado";126
"populares";175
"pp";NA
"partido popular";NA
"ciudadanos";89
"cs";NA
"ciudadanoscs";65
"inesarrimadas";5
"albertrivera";NA
"rivera";585
"albert rivera";NA
"psoe";194
"partido socialista obrero espanol";NA
"pedro sanchez";502
"sanchez";743
"psoe";194
"sanchezcastejon";90
"vox";129
"santiago abascal";21
"abascal";29
"voxes";106
"santiabascal";192
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";1
"si se puede";NA
"venezuela";119
"chavistas";NA
"volivarianos";NA
"viva espana";1
"etarra";NA
"proetarras";NA
"comunistas";NA
"frentismo";NA
"energias renovables";NA
"golpistas";26
"enemigos espana";NA
