"Word";"Frec"
"facha";NA
"corrupcion";7
"tesis";5
"plagio";NA
"chalet";NA
"racista";NA
"separatistas";2
"liberal";NA
"independentistas";2
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";NA
"pensiones";NA
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";1
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";1
"muerte digna";NA
"maltrato";NA
"concertinas";NA
"asilo";NA
"refugiados";NA
"ultraderecha";2
"lgtbi";1
"romper espana";NA
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";NA
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";NA
"pablo iglesias";19
"iglesias";44
"pabloiglesias";10
"ahorapodemos";6
"irenemontero";1
"unidas podemos";1
"podemos";29
"casado";100
"pablo casado";41
"pablocasado";4
"populares";46
"pp";NA
"partido popular";NA
"ciudadanos";213
"cs";NA
"ciudadanoscs";98
"inesarrimadas";4
"albertrivera";NA
"rivera";91
"albert rivera";NA
"psoe";23
"partido socialista obrero espanol";NA
"pedro sanchez";36
"sanchez";164
"psoe";23
"sanchezcastejon";15
"vox";111
"santiago abascal";1
"abascal";8
"voxes";4
"santiabascal";3
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";5
"si se puede";NA
"venezuela";8
"chavistas";NA
"volivarianos";NA
"viva espana";3
"etarra";2
"proetarras";NA
"comunistas";NA
"frentismo";NA
"energias renovables";NA
"golpistas";5
"enemigos espana";NA
