"Word";"Frec"
"facha";NA
"corrupcion";77
"tesis";5
"plagio";6
"chalet";1
"racista";NA
"separatistas";NA
"liberal";NA
"independentistas";NA
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";NA
"pensiones";9
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";NA
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";2
"muerte digna";NA
"maltrato";NA
"concertinas";NA
"asilo";NA
"refugiados";NA
"ultraderecha";5
"lgtbi";NA
"romper espana";NA
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";1
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";2
"pablo iglesias";336
"iglesias";353
"pabloiglesias";60
"ahorapodemos";12
"irenemontero";1
"unidas podemos";4
"podemos";28
"casado";308
"pablo casado";34
"pablocasado";26
"populares";32
"pp";NA
"partido popular";NA
"ciudadanos";89
"cs";NA
"ciudadanoscs";8
"inesarrimadas";3
"albertrivera";NA
"rivera";1019
"albert rivera";NA
"psoe";23
"partido socialista obrero espanol";NA
"pedro sanchez";460
"sanchez";517
"psoe";23
"sanchezcastejon";22
"vox";19
"santiago abascal";NA
"abascal";1
"voxes";9
"santiabascal";3
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";34
"si se puede";NA
"venezuela";15
"chavistas";NA
"volivarianos";NA
"viva espana";NA
"etarra";NA
"proetarras";NA
"comunistas";NA
"frentismo";NA
"energias renovables";NA
"golpistas";NA
"enemigos espana";NA
