"Word";"Frec"
"facha";NA
"corrupcion";NA
"tesis";NA
"plagio";NA
"chalet";NA
"racista";NA
"separatistas";NA
"liberal";NA
"independentistas";1
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";NA
"pensiones";2
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";NA
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";6
"muerte digna";NA
"maltrato";NA
"concertinas";NA
"asilo";NA
"refugiados";NA
"ultraderecha";NA
"lgtbi";4
"romper espana";NA
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";8
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";NA
"pablo iglesias";58
"iglesias";135
"pabloiglesias";79
"ahorapodemos";10
"irenemontero";2
"unidas podemos";NA
"podemos";8
"casado";48
"pablo casado";7
"pablocasado";14
"populares";NA
"pp";NA
"partido popular";NA
"ciudadanos";8
"cs";NA
"ciudadanoscs";2
"inesarrimadas";1
"albertrivera";NA
"rivera";59
"albert rivera";NA
"psoe";9
"partido socialista obrero espanol";NA
"pedro sanchez";5
"sanchez";34
"psoe";9
"sanchezcastejon";12
"vox";4
"santiago abascal";NA
"abascal";1
"voxes";NA
"santiabascal";NA
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";1
"si se puede";NA
"venezuela";NA
"chavistas";NA
"volivarianos";NA
"viva espana";NA
"etarra";NA
"proetarras";NA
"comunistas";NA
"frentismo";NA
"energias renovables";NA
"golpistas";NA
"enemigos espana";3
