"Word";"Frec"
"facha";3
"corrupcion";NA
"tesis";NA
"plagio";NA
"chalet";NA
"racista";NA
"separatistas";1
"liberal";NA
"independentistas";NA
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";NA
"pensiones";NA
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";1
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";4
"muerte digna";NA
"maltrato";NA
"concertinas";NA
"asilo";NA
"refugiados";NA
"ultraderecha";2
"lgtbi";4
"romper espana";NA
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";3
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";NA
"pablo iglesias";NA
"iglesias";NA
"pabloiglesias";3
"ahorapodemos";5
"irenemontero";NA
"unidas podemos";318
"podemos";334
"casado";4
"pablo casado";NA
"pablocasado";1
"populares";3
"pp";NA
"partido popular";NA
"ciudadanos";13
"cs";NA
"ciudadanoscs";6
"inesarrimadas";7
"albertrivera";NA
"rivera";7
"albert rivera";NA
"psoe";50
"partido socialista obrero espanol";NA
"pedro sanchez";17
"sanchez";17
"psoe";50
"sanchezcastejon";4
"vox";221
"santiago abascal";2
"abascal";2
"voxes";12
"santiabascal";4
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";1
"si se puede";NA
"venezuela";1
"chavistas";NA
"volivarianos";NA
"viva espana";1
"etarra";NA
"proetarras";NA
"comunistas";3
"frentismo";NA
"energias renovables";NA
"golpistas";1
"enemigos espana";NA
