"Word";"Frec"
"pablo iglesias";1
"iglesias";1
"pabloiglesias";1
"ahorapodemos";5
"irenemontero";NA
"unidas podemos";1
"podemos";11
"casado";11
"pablo casado";11
"pablocasado";16
"populares";NA
"pp";NA
"partido popular";NA
"ciudadanos";2
"cs";NA
"ciudadanoscs";NA
"inesarrimadas";NA
"albertrivera";NA
"rivera";NA
"albert rivera";NA
"psoe";5
"partido socialista obrero espanol";NA
"pedro sanchez";NA
"sanchez";8
"sanchezcastejon";10
"vox";9
"santiago abascal";NA
"abascal";NA
"voxes";3
"santiabascal";2
