"Word";"Frec"
"pablo iglesias";NA
"iglesias";1
"pabloiglesias";24
"ahorapodemos";21
"irenemontero";NA
"unidas podemos";NA
"podemos";2
"casado";15
"pablo casado";NA
"pablocasado";6
"populares";NA
"pp";NA
"partido popular";NA
"ciudadanos";4
"cs";NA
"ciudadanoscs";1
"inesarrimadas";NA
"albertrivera";NA
"rivera";22
"albert rivera";NA
"psoe";11
"partido socialista obrero espanol";NA
"pedro sanchez";210
"sanchez";219
"sanchezcastejon";18
"vox";13
"santiago abascal";2
"abascal";2
"voxes";2
"santiabascal";3
