"Word";"Frec"
"facha";4
"corrupcion";8
"tesis";NA
"plagio";NA
"chalet";NA
"racista";NA
"separatistas";NA
"liberal";1
"independentistas";6
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";NA
"pensiones";2
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";NA
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";5
"muerte digna";NA
"maltrato";NA
"concertinas";NA
"asilo";NA
"refugiados";NA
"ultraderecha";NA
"lgtbi";NA
"romper espana";NA
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";1
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";NA
"pablo iglesias";NA
"iglesias";96
"pabloiglesias";4
"ahorapodemos";NA
"irenemontero";7
"unidas podemos";62
"podemos";80
"casado";5
"pablo casado";NA
"pablocasado";3
"populares";4
"pp";NA
"partido popular";NA
"ciudadanos";16
"cs";NA
"ciudadanoscs";5
"inesarrimadas";134
"albertrivera";NA
"rivera";13
"albert rivera";NA
"psoe";160
"partido socialista obrero espanol";NA
"pedro sanchez";155
"sanchez";183
"sanchezcastejon";13
"vox";93
"santiago abascal";2
"abascal";5
"voxes";NA
"santiabascal";4
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";NA
"si se puede";NA
"venezuela";7
"chavistas";NA
"bolivarianos";NA
"viva espana";NA
"etarra";NA
"proetarras";NA
"comunistas";1
"frentismo";NA
"energias renovables";NA
"golpistas";NA
"enemigos espana";NA
"fascismo";2
