"Word";"Frec"
"pablo iglesias";NA
"iglesias";96
"pabloiglesias";4
"ahorapodemos";NA
"irenemontero";7
"unidas podemos";62
"podemos";80
"casado";5
"pablo casado";NA
"pablocasado";3
"populares";4
"pp";NA
"partido popular";NA
"ciudadanos";16
"cs";NA
"ciudadanoscs";5
"inesarrimadas";134
"albertrivera";NA
"rivera";13
"albert rivera";NA
"psoe";160
"partido socialista obrero espanol";NA
"pedro sanchez";155
"sanchez";183
"sanchezcastejon";13
"vox";93
"santiago abascal";2
"abascal";5
"voxes";NA
"santiabascal";4
