"Word";"Frec"
"pablo iglesias";NA
"iglesias";1
"pabloiglesias";5
"ahorapodemos";NA
"irenemontero";NA
"unidas podemos";20
"podemos";36
"casado";2
"pablo casado";NA
"pablocasado";1
"populares";1
"pp";NA
"partido popular";NA
"ciudadanos";33
"cs";NA
"ciudadanoscs";NA
"inesarrimadas";2
"albertrivera";NA
"rivera";14
"albert rivera";NA
"psoe";141
"partido socialista obrero espanol";NA
"pedro sanchez";3
"sanchez";19
"sanchezcastejon";2
"vox";22
"santiago abascal";NA
"abascal";9
"voxes";NA
"santiabascal";NA
