"Word";"Frec"
"facha";NA
"corrupcion";1
"tesis";NA
"plagio";NA
"chalet";NA
"racista";NA
"separatistas";NA
"liberal";NA
"independentistas";1
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";NA
"pensiones";NA
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";NA
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";NA
"muerte digna";NA
"maltrato";NA
"concertinas";NA
"asilo";NA
"refugiados";NA
"ultraderecha";NA
"lgtbi";NA
"romper espana";1
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";NA
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";NA
"pablo iglesias";1
"iglesias";1
"pabloiglesias";NA
"ahorapodemos";1
"irenemontero";NA
"unidas podemos";2
"podemos";12
"casado";5
"pablo casado";5
"pablocasado";1
"populares";NA
"pp";NA
"partido popular";NA
"ciudadanos";1
"cs";NA
"ciudadanoscs";10
"inesarrimadas";NA
"albertrivera";NA
"rivera";NA
"albert rivera";NA
"psoe";4
"partido socialista obrero espanol";NA
"pedro sanchez";7
"sanchez";15
"sanchezcastejon";6
"vox";3
"santiago abascal";1
"abascal";2
"voxes";3
"santiabascal";17
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";11
"si se puede";NA
"venezuela";NA
"chavistas";NA
"bolivarianos";NA
"viva espana";NA
"etarra";NA
"proetarras";NA
"comunistas";NA
"frentismo";NA
"energias renovables";NA
"golpistas";1
"enemigos espana";NA
"fascismo";NA
