"Word";"Frec"
"facha";1
"corrupcion";5
"tesis";13
"plagio";NA
"chalet";NA
"racista";NA
"separatistas";9
"liberal";NA
"independentistas";20
"contrato fijo";1
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";2
"brecha salarial";1
"deuda publica";NA
"pensiones";22
"incrementar natalidad";NA
"contrato unico indefinido";2
"precariedad";NA
"lucha precariedad";NA
"contratos basura";1
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";1
"muerte digna";NA
"maltrato";NA
"concertinas";NA
"asilo";NA
"refugiados";NA
"ultraderecha";NA
"lgtbi";NA
"romper espana";NA
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";NA
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";NA
"pablo iglesias";59
"iglesias";231
"pabloiglesias";31
"ahorapodemos";7
"irenemontero";NA
"unidas podemos";2
"podemos";11
"casado";311
"pablo casado";53
"pablocasado";57
"populares";22
"pp";NA
"partido popular";NA
"ciudadanos";19
"cs";NA
"ciudadanoscs";16
"inesarrimadas";1
"albertrivera";NA
"rivera";837
"albert rivera";NA
"psoe";65
"partido socialista obrero espanol";NA
"pedro sanchez";96
"sanchez";390
"psoe";65
"sanchezcastejon";50
"vox";9
"santiago abascal";1
"abascal";17
"voxes";11
"santiabascal";1
"veleta naranja";1
"derechita cobarde";1
"trifachito";2
"si se puede";NA
"venezuela";34
"chavistas";NA
"bolivarianos";NA
"viva espana";1
"etarra";NA
"proetarras";NA
"comunistas";2
"frentismo";NA
"energias renovables";1
"golpistas";2
"enemigos espana";NA
"fascismo";1
