"Word";"Frec"
"pablo iglesias";59
"iglesias";231
"pabloiglesias";31
"ahorapodemos";7
"irenemontero";NA
"unidas podemos";2
"podemos";11
"casado";311
"pablo casado";53
"pablocasado";57
"populares";22
"pp";NA
"partido popular";NA
"ciudadanos";19
"cs";NA
"ciudadanoscs";16
"inesarrimadas";1
"albertrivera";NA
"rivera";837
"albert rivera";NA
"psoe";65
"partido socialista obrero espanol";NA
"pedro sanchez";96
"sanchez";390
"sanchezcastejon";50
"vox";9
"santiago abascal";1
"abascal";17
"voxes";11
"santiabascal";1
