"Word";"Frec"
"facha";NA
"corrupcion";NA
"tesis";3
"plagio";NA
"chalet";1
"racista";NA
"separatistas";NA
"liberal";NA
"independentistas";10
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";NA
"pensiones";9
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";3
"lucha precariedad";1
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";1
"muerte digna";NA
"maltrato";NA
"concertinas";NA
"asilo";NA
"refugiados";1
"ultraderecha";NA
"lgtbi";NA
"romper espana";NA
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";NA
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";NA
"pablo iglesias";20
"iglesias";48
"pabloiglesias";105
"ahorapodemos";22
"irenemontero";NA
"unidas podemos";NA
"podemos";4
"casado";36
"pablo casado";7
"pablocasado";211
"populares";126
"pp";NA
"partido popular";NA
"ciudadanos";6
"cs";NA
"ciudadanoscs";60
"inesarrimadas";NA
"albertrivera";NA
"rivera";97
"albert rivera";NA
"psoe";87
"partido socialista obrero espanol";NA
"pedro sanchez";20
"sanchez";121
"sanchezcastejon";166
"vox";6
"santiago abascal";NA
"abascal";1
"voxes";3
"santiabascal";69
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";NA
"si se puede";NA
"venezuela";2
"chavistas";NA
"bolivarianos";NA
"viva espana";NA
"etarra";NA
"proetarras";NA
"comunistas";NA
"frentismo";NA
"energias renovables";NA
"golpistas";1
"enemigos espana";NA
"fascismo";3
