"Word";"Frec"
"facha";NA
"corrupcion";2
"tesis";NA
"plagio";NA
"chalet";1
"racista";NA
"separatistas";NA
"liberal";5
"independentistas";NA
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";NA
"pensiones";5
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";NA
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";NA
"muerte digna";NA
"maltrato";NA
"concertinas";NA
"asilo";NA
"refugiados";NA
"ultraderecha";NA
"lgtbi";NA
"romper espana";NA
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";NA
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";NA
"pablo iglesias";3
"iglesias";7
"pabloiglesias";1
"ahorapodemos";NA
"irenemontero";NA
"unidas podemos";NA
"podemos";4
"casado";12
"pablo casado";11
"pablocasado";1
"populares";2
"pp";NA
"partido popular";NA
"ciudadanos";8
"cs";NA
"ciudadanoscs";1
"inesarrimadas";NA
"albertrivera";NA
"rivera";10
"albert rivera";NA
"psoe";9
"partido socialista obrero espanol";NA
"pedro sanchez";10
"sanchez";17
"psoe";9
"sanchezcastejon";1
"vox";11
"santiago abascal";4
"abascal";4
"voxes";NA
"santiabascal";1
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";NA
"si se puede";NA
"venezuela";43
"chavistas";NA
"bolivarianos";NA
"viva espana";1
"etarra";NA
"proetarras";NA
"comunistas";NA
"frentismo";NA
"energias renovables";NA
"golpistas";NA
"enemigos espana";NA
"fascismo";3
