"Word";"Frec"
"facha";NA
"corrupcion";1
"tesis";NA
"plagio";NA
"chalet";NA
"racista";NA
"separatistas";NA
"liberal";NA
"independentistas";NA
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";NA
"pensiones";NA
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";NA
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";4
"muerte digna";NA
"maltrato";NA
"concertinas";NA
"asilo";2
"refugiados";NA
"ultraderecha";1
"lgtbi";NA
"romper espana";NA
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";1
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";NA
"pablo iglesias";41
"iglesias";42
"pabloiglesias";6
"ahorapodemos";1
"irenemontero";NA
"unidas podemos";NA
"podemos";207
"casado";47
"pablo casado";5
"pablocasado";4
"populares";3
"pp";NA
"partido popular";NA
"ciudadanos";3
"cs";NA
"ciudadanoscs";1
"inesarrimadas";NA
"albertrivera";NA
"rivera";127
"albert rivera";NA
"psoe";4
"partido socialista obrero espanol";NA
"pedro sanchez";5
"sanchez";43
"sanchezcastejon";18
"vox";187
"santiago abascal";2
"abascal";3
"voxes";3
"santiabascal";1
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";NA
"si se puede";NA
"venezuela";97
"chavistas";NA
"bolivarianos";NA
"viva espana";NA
"etarra";NA
"proetarras";NA
"comunistas";NA
"frentismo";NA
"energias renovables";NA
"golpistas";5
"enemigos espana";NA
"fascismo";NA
