"Word";"Frec"
"pablo iglesias";41
"iglesias";42
"pabloiglesias";6
"ahorapodemos";1
"irenemontero";NA
"unidas podemos";NA
"podemos";207
"casado";47
"pablo casado";5
"pablocasado";4
"populares";3
"pp";NA
"partido popular";NA
"ciudadanos";3
"cs";NA
"ciudadanoscs";1
"inesarrimadas";NA
"albertrivera";NA
"rivera";127
"albert rivera";NA
"psoe";4
"partido socialista obrero espanol";NA
"pedro sanchez";5
"sanchez";43
"sanchezcastejon";18
"vox";187
"santiago abascal";2
"abascal";3
"voxes";3
"santiabascal";1
