"Word";"Frec"
"facha";NA
"corrupcion";8
"tesis";NA
"plagio";NA
"chalet";NA
"racista";2
"separatistas";NA
"liberal";1
"independentistas";NA
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";NA
"pensiones";2
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";NA
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";NA
"muerte digna";NA
"maltrato";NA
"concertinas";NA
"asilo";NA
"refugiados";NA
"ultraderecha";NA
"lgtbi";12
"romper espana";NA
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";2
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";NA
"pablo iglesias";1
"iglesias";12
"pabloiglesias";3
"ahorapodemos";NA
"irenemontero";NA
"unidas podemos";8
"podemos";29
"casado";37
"pablo casado";NA
"pablocasado";10
"populares";8
"pp";NA
"partido popular";NA
"ciudadanos";3
"cs";NA
"ciudadanoscs";2
"inesarrimadas";3
"albertrivera";NA
"rivera";6
"albert rivera";NA
"psoe";55
"partido socialista obrero espanol";NA
"pedro sanchez";16
"sanchez";37
"sanchezcastejon";30
"vox";45
"santiago abascal";3
"abascal";3
"voxes";5
"santiabascal";NA
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";2
"si se puede";NA
"venezuela";NA
"chavistas";NA
"bolivarianos";1
"viva espana";NA
"etarra";NA
"proetarras";NA
"comunistas";9
"frentismo";NA
"energias renovables";NA
"golpistas";12
"enemigos espana";NA
"fascismo";NA
