"Word";"Frec"
"pablo iglesias";1
"iglesias";4
"pabloiglesias";15
"ahorapodemos";12
"irenemontero";646
"unidas podemos";76
"podemos";100
"casado";663
"pablo casado";619
"pablocasado";564
"populares";692
"pp";NA
"partido popular";NA
"ciudadanos";300
"cs";NA
"ciudadanoscs";96
"inesarrimadas";7
"albertrivera";NA
"rivera";45
"albert rivera";NA
"psoe";269
"partido socialista obrero espanol";NA
"pedro sanchez";294
"sanchez";430
"sanchezcastejon";212
"vox";550
"santiago abascal";604
"abascal";670
"voxes";720
"santiabascal";396
