"Word";"Frec"
"facha";NA
"corrupcion";NA
"tesis";NA
"plagio";NA
"chalet";2
"racista";NA
"separatistas";2
"liberal";1
"independentistas";NA
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";NA
"pensiones";2
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";NA
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";2
"muerte digna";NA
"maltrato";2
"concertinas";NA
"asilo";NA
"refugiados";NA
"ultraderecha";NA
"lgtbi";NA
"romper espana";NA
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";NA
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";NA
"pablo iglesias";NA
"iglesias";3
"pabloiglesias";NA
"ahorapodemos";1
"irenemontero";NA
"unidas podemos";2
"podemos";5
"casado";1
"pablo casado";NA
"pablocasado";7
"populares";15
"pp";NA
"partido popular";NA
"ciudadanos";6
"cs";NA
"ciudadanoscs";4
"inesarrimadas";NA
"albertrivera";NA
"rivera";4
"albert rivera";NA
"psoe";18
"partido socialista obrero espanol";NA
"pedro sanchez";26
"sanchez";37
"psoe";18
"sanchezcastejon";5
"vox";66
"santiago abascal";5
"abascal";8
"voxes";19
"santiabascal";15
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";NA
"si se puede";NA
"venezuela";NA
"chavistas";NA
"volivarianos";NA
"viva espana";57
"etarra";NA
"proetarras";3
"comunistas";2
"frentismo";NA
"energias renovables";1
"golpistas";NA
"enemigos espana";NA
