"Word";"Frec"
"pablo iglesias";1
"iglesias";3
"pabloiglesias";NA
"ahorapodemos";NA
"irenemontero";NA
"unidas podemos";NA
"podemos";NA
"casado";NA
"pablo casado";NA
"pablocasado";NA
"populares";NA
"pp";NA
"partido popular";NA
"ciudadanos";10
"cs";NA
"ciudadanoscs";44
"inesarrimadas";2
"albertrivera";NA
"rivera";2
"albert rivera";NA
"psoe";10
"partido socialista obrero espanol";NA
"pedro sanchez";1
"sanchez";4
"sanchezcastejon";1
"vox";68
"santiago abascal";NA
"abascal";1
"voxes";11
"santiabascal";2
