"Word";"Frec"
"facha";NA
"corrupcion";3
"tesis";1
"plagio";NA
"chalet";NA
"racista";NA
"separatistas";NA
"liberal";1
"independentistas";2
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";1
"pensiones";2
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";NA
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";1
"feminismo";2
"muerte digna";NA
"maltrato";NA
"concertinas";NA
"asilo";1
"refugiados";NA
"ultraderecha";6
"lgtbi";1
"romper espana";NA
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";NA
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";NA
"pablo iglesias";1
"iglesias";21
"pabloiglesias";102
"ahorapodemos";4
"irenemontero";19
"unidas podemos";4
"podemos";11
"casado";51
"pablo casado";34
"pablocasado";134
"populares";161
"pp";NA
"partido popular";NA
"ciudadanos";4
"cs";NA
"ciudadanoscs";5
"inesarrimadas";NA
"albertrivera";NA
"rivera";28
"albert rivera";NA
"psoe";67
"partido socialista obrero espanol";NA
"pedro sanchez";22
"sanchez";52
"sanchezcastejon";45
"vox";71
"santiago abascal";18
"abascal";25
"voxes";51
"santiabascal";6
"veleta naranja";NA
"derechita cobarde";1
"trifachito";NA
"si se puede";NA
"venezuela";10
"chavistas";NA
"bolivarianos";NA
"viva espana";NA
"etarra";NA
"proetarras";NA
"comunistas";6
"frentismo";NA
"energias renovables";NA
"golpistas";4
"enemigos espana";1
"fascismo";9
