"Word";"Frec"
"pablo iglesias";NA
"iglesias";NA
"pabloiglesias";NA
"ahorapodemos";NA
"irenemontero";NA
"unidas podemos";NA
"podemos";NA
"casado";2
"pablo casado";NA
"pablocasado";2
"populares";5
"pp";NA
"partido popular";NA
"ciudadanos";14
"cs";NA
"ciudadanoscs";47
"inesarrimadas";2
"albertrivera";NA
"rivera";2
"albert rivera";NA
"psoe";11
"partido socialista obrero espanol";NA
"pedro sanchez";3
"sanchez";4
"sanchezcastejon";7
"vox";12
"santiago abascal";2
"abascal";2
"voxes";7
"santiabascal";2
