"Word";"Frec"
"facha";1
"corrupcion";2
"tesis";NA
"plagio";NA
"chalet";NA
"racista";NA
"separatistas";NA
"liberal";1
"independentistas";3
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";NA
"pensiones";NA
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";NA
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";14
"muerte digna";NA
"maltrato";NA
"concertinas";NA
"asilo";NA
"refugiados";NA
"ultraderecha";NA
"lgtbi";2
"romper espana";1
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";NA
"violencia intrafamiliar";NA
"prision permanente revisable";2
"gobierno progresista";NA
"pablo iglesias";2
"iglesias";3
"pabloiglesias";13
"ahorapodemos";12
"irenemontero";NA
"unidas podemos";4
"podemos";27
"casado";34
"pablo casado";NA
"pablocasado";1
"populares";15
"pp";NA
"partido popular";NA
"ciudadanos";11
"cs";NA
"ciudadanoscs";3
"inesarrimadas";3
"albertrivera";NA
"rivera";35
"albert rivera";NA
"psoe";18
"partido socialista obrero espanol";NA
"pedro sanchez";1
"sanchez";41
"psoe";18
"sanchezcastejon";10
"vox";20
"santiago abascal";NA
"abascal";1
"voxes";42
"santiabascal";21
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";2
"si se puede";NA
"venezuela";NA
"chavistas";NA
"bolivarianos";NA
"viva espana";NA
"etarra";NA
"proetarras";NA
"comunistas";NA
"frentismo";NA
"energias renovables";NA
"golpistas";1
"enemigos espana";NA
"fascismo";5
