"Word";"Frec"
"pablo iglesias";2
"iglesias";3
"pabloiglesias";13
"ahorapodemos";12
"irenemontero";NA
"unidas podemos";4
"podemos";27
"casado";34
"pablo casado";NA
"pablocasado";1
"populares";15
"pp";NA
"partido popular";NA
"ciudadanos";11
"cs";NA
"ciudadanoscs";3
"inesarrimadas";3
"albertrivera";NA
"rivera";35
"albert rivera";NA
"psoe";18
"partido socialista obrero espanol";NA
"pedro sanchez";1
"sanchez";41
"sanchezcastejon";10
"vox";20
"santiago abascal";NA
"abascal";1
"voxes";42
"santiabascal";21
