"Word";"Frec"
"facha";NA
"corrupcion";1
"tesis";2
"plagio";NA
"chalet";1
"racista";NA
"separatistas";NA
"liberal";1
"independentistas";NA
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";1
"pensiones";14
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";NA
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";1
"muerte digna";NA
"maltrato";NA
"concertinas";NA
"asilo";NA
"refugiados";1
"ultraderecha";1
"lgtbi";1
"romper espana";NA
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";NA
"violencia intrafamiliar";NA
"prision permanente revisable";1
"gobierno progresista";NA
"pablo iglesias";2
"iglesias";7
"pabloiglesias";NA
"ahorapodemos";NA
"irenemontero";NA
"unidas podemos";4
"podemos";10
"casado";3
"pablo casado";1
"pablocasado";7
"populares";22
"pp";NA
"partido popular";NA
"ciudadanos";23
"cs";NA
"ciudadanoscs";7
"inesarrimadas";NA
"albertrivera";NA
"rivera";6
"albert rivera";NA
"psoe";44
"partido socialista obrero espanol";NA
"pedro sanchez";2
"sanchez";16
"sanchezcastejon";1
"vox";21
"santiago abascal";2
"abascal";2
"voxes";4
"santiabascal";1
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";NA
"si se puede";NA
"venezuela";NA
"chavistas";NA
"bolivarianos";NA
"viva espana";1
"etarra";NA
"proetarras";NA
"comunistas";1
"frentismo";NA
"energias renovables";2
"golpistas";NA
"enemigos espana";NA
"fascismo";NA
