"Word";"Frec"
"facha";1
"corrupcion";NA
"tesis";NA
"plagio";NA
"chalet";NA
"racista";NA
"separatistas";NA
"liberal";1
"independentistas";1
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";NA
"pensiones";NA
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";3
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";NA
"muerte digna";NA
"maltrato";NA
"concertinas";NA
"asilo";NA
"refugiados";NA
"ultraderecha";NA
"lgtbi";NA
"romper espana";7
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";NA
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";NA
"pablo iglesias";1
"iglesias";14
"pabloiglesias";3
"ahorapodemos";1
"irenemontero";NA
"unidas podemos";23
"podemos";37
"casado";NA
"pablo casado";NA
"pablocasado";1
"populares";1
"pp";NA
"partido popular";NA
"ciudadanos";1
"cs";NA
"ciudadanoscs";NA
"inesarrimadas";7
"albertrivera";NA
"rivera";NA
"albert rivera";NA
"psoe";120
"partido socialista obrero espanol";NA
"pedro sanchez";NA
"sanchez";14
"sanchezcastejon";1
"vox";20
"santiago abascal";NA
"abascal";NA
"voxes";NA
"santiabascal";NA
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";NA
"si se puede";NA
"venezuela";NA
"chavistas";NA
"bolivarianos";NA
"viva espana";NA
"etarra";NA
"proetarras";NA
"comunistas";NA
"frentismo";NA
"energias renovables";NA
"golpistas";NA
"enemigos espana";NA
"fascismo";1
