"Word";"Frec"
"facha";5
"corrupcion";1
"tesis";NA
"plagio";NA
"chalet";NA
"racista";4
"separatistas";NA
"liberal";NA
"independentistas";3
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";NA
"pensiones";5
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";NA
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";1
"muerte digna";NA
"maltrato";NA
"concertinas";NA
"asilo";NA
"refugiados";1
"ultraderecha";NA
"lgtbi";2
"romper espana";2
"trio colon";7
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";NA
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";NA
"pablo iglesias";4
"iglesias";4
"pabloiglesias";5
"ahorapodemos";3
"irenemontero";1
"unidas podemos";1
"podemos";12
"casado";3
"pablo casado";1
"pablocasado";1
"populares";3
"pp";NA
"partido popular";NA
"ciudadanos";6
"cs";NA
"ciudadanoscs";19
"inesarrimadas";26
"albertrivera";NA
"rivera";NA
"albert rivera";NA
"psoe";54
"partido socialista obrero espanol";NA
"pedro sanchez";24
"sanchez";41
"sanchezcastejon";6
"vox";45
"santiago abascal";1
"abascal";1
"voxes";3
"santiabascal";1
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";NA
"si se puede";NA
"venezuela";2
"chavistas";NA
"bolivarianos";NA
"viva espana";NA
"etarra";NA
"proetarras";NA
"comunistas";NA
"frentismo";NA
"energias renovables";NA
"golpistas";8
"enemigos espana";NA
"fascismo";1
