"Word";"Frec"
"facha";NA
"corrupcion";1
"tesis";NA
"plagio";NA
"chalet";NA
"racista";NA
"separatistas";NA
"liberal";NA
"independentistas";NA
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";NA
"pensiones";NA
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";NA
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";NA
"muerte digna";NA
"maltrato";NA
"concertinas";NA
"asilo";NA
"refugiados";NA
"ultraderecha";NA
"lgtbi";2
"romper espana";NA
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";NA
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";NA
"pablo iglesias";NA
"iglesias";2
"pabloiglesias";1
"ahorapodemos";NA
"irenemontero";NA
"unidas podemos";NA
"podemos";5
"casado";2
"pablo casado";NA
"pablocasado";35
"populares";NA
"pp";NA
"partido popular";NA
"ciudadanos";4
"cs";NA
"ciudadanoscs";1
"inesarrimadas";NA
"albertrivera";NA
"rivera";1
"albert rivera";NA
"psoe";5
"partido socialista obrero espanol";NA
"pedro sanchez";11
"sanchez";30
"sanchezcastejon";NA
"vox";24
"santiago abascal";1
"abascal";6
"voxes";2
"santiabascal";1
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";NA
"si se puede";NA
"venezuela";5
"chavistas";NA
"bolivarianos";NA
"viva espana";NA
"etarra";NA
"proetarras";NA
"comunistas";NA
"frentismo";NA
"energias renovables";NA
"golpistas";3
"enemigos espana";NA
"fascismo";NA
