"Word";"Frec"
"facha";1
"corrupcion";5
"tesis";NA
"plagio";NA
"chalet";1
"racista";NA
"separatistas";NA
"liberal";1
"independentistas";NA
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";1
"brecha salarial";NA
"deuda publica";NA
"pensiones";27
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";1
"lucha precariedad";1
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";NA
"muerte digna";NA
"maltrato";NA
"concertinas";NA
"asilo";NA
"refugiados";NA
"ultraderecha";2
"lgtbi";NA
"romper espana";NA
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";NA
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";NA
"pablo iglesias";25
"iglesias";33
"pabloiglesias";168
"ahorapodemos";49
"irenemontero";NA
"unidas podemos";15
"podemos";21
"casado";34
"pablo casado";16
"pablocasado";34
"populares";29
"pp";NA
"partido popular";NA
"ciudadanos";12
"cs";NA
"ciudadanoscs";9
"inesarrimadas";NA
"albertrivera";NA
"rivera";33
"albert rivera";NA
"psoe";36
"partido socialista obrero espanol";NA
"pedro sanchez";23
"sanchez";40
"sanchezcastejon";38
"vox";9
"santiago abascal";NA
"abascal";2
"voxes";6
"santiabascal";NA
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";13
"si se puede";NA
"venezuela";3
"chavistas";NA
"bolivarianos";NA
"viva espana";NA
"etarra";NA
"proetarras";NA
"comunistas";1
"frentismo";NA
"energias renovables";NA
"golpistas";3
"enemigos espana";NA
"fascismo";7
