"Word";"Frec"
"facha";NA
"corrupcion";13
"tesis";6
"plagio";1
"chalet";2
"racista";NA
"separatistas";3
"liberal";NA
"independentistas";33
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";NA
"brecha salarial";NA
"deuda publica";NA
"pensiones";10
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";NA
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";2
"feminismo";17
"muerte digna";NA
"maltrato";NA
"concertinas";NA
"asilo";2
"refugiados";NA
"ultraderecha";3
"lgtbi";NA
"romper espana";3
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";2
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";NA
"pablo iglesias";171
"iglesias";285
"pabloiglesias";135
"ahorapodemos";9
"irenemontero";1
"unidas podemos";2
"podemos";22
"casado";316
"pablo casado";200
"pablocasado";37
"populares";5
"pp";NA
"partido popular";NA
"ciudadanos";33
"cs";NA
"ciudadanoscs";11
"inesarrimadas";NA
"albertrivera";NA
"rivera";464
"albert rivera";NA
"psoe";9
"partido socialista obrero espanol";NA
"pedro sanchez";49
"sanchez";214
"sanchezcastejon";27
"vox";8
"santiago abascal";NA
"abascal";4
"voxes";4
"santiabascal";1
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";NA
"si se puede";NA
"venezuela";4
"chavistas";NA
"bolivarianos";NA
"viva espana";NA
"etarra";NA
"proetarras";NA
"comunistas";NA
"frentismo";NA
"energias renovables";NA
"golpistas";2
"enemigos espana";1
"fascismo";1
