"Word";"Frec"
"facha";1
"corrupcion";174
"tesis";10
"plagio";NA
"chalet";3
"racista";NA
"separatistas";NA
"liberal";1
"independentistas";6
"contrato fijo";2
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";29
"brecha salarial";NA
"deuda publica";42
"pensiones";24
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";NA
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";1
"expropiar";NA
"maternidad";NA
"feminismo";56
"muerte digna";NA
"maltrato";NA
"concertinas";NA
"asilo";NA
"refugiados";NA
"ultraderecha";2
"lgtbi";NA
"romper espana";2
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";2
"violencia intrafamiliar";NA
"prision permanente revisable";10
"gobierno progresista";NA
"pablo iglesias";274
"iglesias";421
"pabloiglesias";242
"ahorapodemos";14
"irenemontero";121
"unidas podemos";30
"podemos";210
"casado";361
"pablo casado";158
"pablocasado";102
"populares";117
"pp";NA
"partido popular";NA
"ciudadanos";747
"cs";NA
"ciudadanoscs";25
"inesarrimadas";NA
"albertrivera";NA
"rivera";626
"albert rivera";NA
"psoe";100
"partido socialista obrero espanol";NA
"pedro sanchez";229
"sanchez";567
"sanchezcastejon";91
"vox";140
"santiago abascal";3
"abascal";7
"voxes";8
"santiabascal";11
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";6
"si se puede";NA
"venezuela";3
"chavistas";NA
"bolivarianos";NA
"viva espana";6
"etarra";NA
"proetarras";NA
"comunistas";4
"frentismo";NA
"energias renovables";NA
"golpistas";2
"enemigos espana";3
"fascismo";1
