"Word";"Frec"
"facha";NA
"corrupcion";1
"tesis";2
"plagio";NA
"chalet";NA
"racista";2
"separatistas";NA
"liberal";NA
"independentistas";NA
"contrato fijo";NA
"empleo precario";NA
"empleo temporal";NA
"subir salario minimo";1
"brecha salarial";NA
"deuda publica";NA
"pensiones";2
"incrementar natalidad";NA
"contrato unico indefinido";NA
"precariedad";NA
"lucha precariedad";NA
"contratos basura";NA
"ofrecer vivienda";NA
"subir impuestos";NA
"expropiar";NA
"maternidad";NA
"feminismo";NA
"muerte digna";NA
"maltrato";NA
"concertinas";NA
"asilo";NA
"refugiados";NA
"ultraderecha";1
"lgtbi";NA
"romper espana";NA
"trio colon";NA
"vieja politica";NA
"transicion ecologica";NA
"violencia machista";NA
"violencia intrafamiliar";NA
"prision permanente revisable";NA
"gobierno progresista";NA
"pablo iglesias";NA
"iglesias";3
"pabloiglesias";5
"ahorapodemos";2
"irenemontero";NA
"unidas podemos";NA
"podemos";11
"casado";NA
"pablo casado";NA
"pablocasado";NA
"populares";14
"pp";NA
"partido popular";NA
"ciudadanos";2
"cs";NA
"ciudadanoscs";1
"inesarrimadas";1
"albertrivera";NA
"rivera";NA
"albert rivera";NA
"psoe";19
"partido socialista obrero espanol";NA
"pedro sanchez";1
"sanchez";1
"sanchezcastejon";2
"vox";46
"santiago abascal";2
"abascal";3
"voxes";30
"santiabascal";24
"veleta naranja";NA
"derechita cobarde";NA
"trifachito";NA
"si se puede";NA
"venezuela";1
"chavistas";NA
"bolivarianos";NA
"viva espana";24
"etarra";NA
"proetarras";NA
"comunistas";NA
"frentismo";NA
"energias renovables";NA
"golpistas";NA
"enemigos espana";NA
"fascismo";NA
