"name";"url";"query";"woeid";"City"
"#DiaDelLibro";"http://twitter.com/search?q=%23DiaDelLibro";"%23DiaDelLibro";"754542";"Bilbao"
"#SantJordi";"http://twitter.com/search?q=%23SantJordi";"%23SantJordi";"754542";"Bilbao"
"#ELDEBATEenRTVE";"http://twitter.com/search?q=%23ELDEBATEenRTVE";"%23ELDEBATEenRTVE";"754542";"Bilbao"
"Rivera";"http://twitter.com/search?q=Rivera";"Rivera";"754542";"Bilbao"
"#DebateRTVE";"http://twitter.com/search?q=%23DebateRTVE";"%23DebateRTVE";"754542";"Bilbao"
"Casado";"http://twitter.com/search?q=Casado";"Casado";"754542";"Bilbao"
"Día del Libro";"http://twitter.com/search?q=%22D%C3%ADa+del+Libro%22";"%22D%C3%ADa+del+Libro%22";"754542";"Bilbao"
"Pablo Iglesias";"http://twitter.com/search?q=%22Pablo+Iglesias%22";"%22Pablo+Iglesias%22";"754542";"Bilbao"
"#DebateAtresmedia";"http://twitter.com/search?q=%23DebateAtresmedia";"%23DebateAtresmedia";"754542";"Bilbao"
"Willy Toledo";"http://twitter.com/search?q=%22Willy+Toledo%22";"%22Willy+Toledo%22";"754542";"Bilbao"
"Zalgiris";"http://twitter.com/search?q=Zalgiris";"Zalgiris";"754542";"Bilbao"
"El Alcoraz";"http://twitter.com/search?q=%22El+Alcoraz%22";"%22El+Alcoraz%22";"754542";"Bilbao"
"Daniel Cuevas";"http://twitter.com/search?q=%22Daniel+Cuevas%22";"%22Daniel+Cuevas%22";"754542";"Bilbao"
"OAKA";"http://twitter.com/search?q=OAKA";"OAKA";"754542";"Bilbao"
"Courtois";"http://twitter.com/search?q=Courtois";"Courtois";"754542";"Bilbao"
"Skywalker";"http://twitter.com/search?q=Skywalker";"Skywalker";"754542";"Bilbao"
"kaunas";"http://twitter.com/search?q=kaunas";"kaunas";"754542";"Bilbao"
"El Requexón";"http://twitter.com/search?q=%22El+Requex%C3%B3n%22";"%22El+Requex%C3%B3n%22";"754542";"Bilbao"
"Tejado";"http://twitter.com/search?q=Tejado";"Tejado";"754542";"Bilbao"
"De Blasis";"http://twitter.com/search?q=%22De+Blasis%22";"%22De+Blasis%22";"754542";"Bilbao"
"Índico";"http://twitter.com/search?q=%C3%8Dndico";"%C3%8Dndico";"754542";"Bilbao"
"María José Carrasco";"http://twitter.com/search?q=%22Mar%C3%ADa+Jos%C3%A9+Carrasco%22";"%22Mar%C3%ADa+Jos%C3%A9+Carrasco%22";"754542";"Bilbao"
