Palabra;SupportPP;SupportPSOE;SupportCs;SupportPodemos;SupportVOX
pablo iglesias;0;0;0;1;0
iglesias;0;0;0;1;0
pabloiglesias;0;0;0;1;0
ahorapodemos;0;0;0;1;0
irenemontero;0;0;0;1;0
unidas podemos;0;0;0;1;0
podemos;0;0;0;1;0
casado;1;0;0;0;0
pablo casado;1;0;0;0;0
pablocasado;1;0;0;0;0
populares;1;0;0;0;0
pp;1;0;0;0;0
partido popular;1;0;0;0;0
ciudadanos;0;0;1;0;0
cs;0;0;1;0;0
ciudadanoscs;0;0;1;0;0
inesarrimadas;0;0;1;0;0
albertrivera;0;0;1;0;0
rivera;0;0;1;0;0
albert rivera;0;0;1;0;0
psoe;0;1;0;0;0
partido socialista obrero espanol;0;1;0;0;0
pedro sanchez;0;1;0;0;0
sanchez;0;1;0;0;0
sanchezcastejon;0;1;0;0;0
vox;0;0;0;0;1
santiago abascal;0;0;0;0;1
abascal;0;0;0;0;1
voxes;0;0;0;0;1
santiabascal;0;0;0;0;1
